gender,educ,age,caruse,fast,unsafe,limit,offense,policy,contrib,limwar,accept,sig
0,4,39,20,4,12,14,16,18,23,10,24,4.653245926
0,6,55,20,4,9,15,12,19,20,7,24,4.653245926
1,6,46,18,4,12,17,22,18,17,9,26,4.653245926
0,5,34,5,4,14,21,14,25,16,11,22,4.653245926
1,4,31,16,4,10,19,17,21,20,11,23,4.653245926
0,1,60,9,3,9,17,19,23,16,9,22,4.653245926
0,6,65,16,4,12,18,17,22,22,10,25,4.653245926
1,6,64,17,2,10,13,18,15,5,7,17,4.653245926
1,6,43,16,4,17,21,19,20,17,8,22,4.653245926
1,3,37,16,4,14,16,NA,17,20,10,25,4.653245926
1,5,59,8,4,19,20,10,28,22,11,40,4.653245926
0,6,54,16,3,14,19,20,24,18,7,31,4.653245926
0,4,32,22,4,10,13,25,13,12,7,12,4.653245926
0,6,31,11,4,16,17,14,22,21,12,35,4.653245926
1,5,31,13,3,13,18,19,21,19,8,21,4.653245926
0,6,41,19,3,12,NA,21,20,17,9,21,4.653245926
